band_prefix,band_suffix,band_n,sex,territory,year,month,day,presence_absence
2981,13710,298113710,female,10,2021,7,11,0
2661,76904,266176904,male,10,2021,7,14,NA
2981,13710,298113710,female,10,2021,7,14,0
2661,76888,266176888,male,11,2021,4,28,NA
2661,76708,266176708,female,11,2021,4,28,NA
2661,76888,266176888,male,11,2021,5,6,NA
2661,76708,266176708,female,11,2021,5,6,NA
2661,76888,266176888,male,11,2021,5,12,NA
2661,76708,266176708,female,11,2021,5,12,NA
2661,76888,266176888,male,11,2021,5,15,1
2661,76708,266176708,female,11,2021,5,15,1
2661,76888,266176888,male,11,2021,5,21,1
2661,76708,266176708,female,11,2021,5,21,0
2661,76888,266176888,male,11,2021,5,22,1
2661,76708,266176708,female,11,2021,5,22,0
2661,76888,266176888,male,11,2021,5,26,NA
2661,76708,266176708,female,11,2021,5,26,NA
2661,76888,266176888,male,11,2021,5,30,NA
2661,76708,266176708,female,11,2021,5,30,NA
2661,76888,266176888,male,11,2021,6,4,NA
2661,76708,266176708,female,11,2021,6,4,NA
2661,76888,266176888,male,11,2021,6,7,1
2661,76708,266176708,female,11,2021,6,7,1
2661,76904,266176904,male,11,2021,6,7,1
2661,76708,266176708,female,11,2021,6,18,NA
2661,76888,266176888,male,11,2021,6,18,1
2661,76888,266176888,male,11,2021,6,19,1
2661,76708,266176708,female,11,2021,6,19,1
2661,76888,266176888,male,11,2021,6,22,NA
2661,76708,266176708,female,11,2021,6,22,NA
2661,76888,266176888,male,11,2021,7,11,1
2661,76708,266176708,female,11,2021,7,11,1
2661,76888,266176888,male,11,2021,7,13,1
2661,76708,266176708,female,11,2021,7,13,1
2661,76752,266176752,male,12,2021,4,29,1
2661,76739,266176739,female,12,2021,4,29,1
2661,76752,266176752,male,12,2021,4,30,NA
2661,76739,266176739,female,12,2021,4,30,NA
2661,76752,266176752,male,12,2021,5,12,NA
2661,76739,266176739,female,12,2021,5,12,NA
2661,76752,266176752,male,12,2021,5,15,1
2661,76739,266176739,female,12,2021,5,15,0
2661,76752,266176752,male,12,2021,5,22,NA
2661,76739,266176739,female,12,2021,5,22,0
2661,76752,266176752,male,12,2021,5,26,NA
2661,76739,266176739,female,12,2021,5,26,0
2661,76752,266176752,male,12,2021,5,28,1
2661,76739,266176739,female,12,2021,5,28,0
2661,76752,266176752,male,12,2021,6,2,1
2661,76739,266176739,female,12,2021,6,2,1
2661,76752,266176752,male,12,2021,6,3,1
2661,76739,266176739,female,12,2021,6,3,1
2661,76752,266176752,male,12,2021,7,13,1
2661,76739,266176739,female,12,2021,7,13,0
,,rwc,male,13,2021,4,29,1
,,rwc,male,13,2021,5,6,1
,,rwc,male,13,2021,5,19,1
,,rwc,male,13,2021,5,23,1
,,rwc,male,13,2021,5,30,1
,,rwc,male,13,2021,6,1,1
,,rwc,male,13,2021,6,3,1
,,rwc,male,13,2021,6,18,1
,,rwc,male,13,2021,7,10,1
,,mwwdb,male,14,2021,4,28,NA
2541,91791,254191791,female,14,2021,4,28,NA
,,mwwdb,male,14,2021,5,4,NA
2541,91791,254191791,female,14,2021,5,4,NA
,,mwwdb,male,14,2021,5,14,NA
2541,91791,254191791,female,14,2021,5,14,1
,,mwwdb,male,14,2021,5,22,NA
2541,91791,254191791,female,14,2021,5,22,1
,,mwwdb,male,14,2021,5,29,NA
2541,91791,254191791,female,14,2021,5,29,1
,,mwwdb,male,14,2021,5,30,1
2541,91791,254191791,female,14,2021,5,30,1
2981,13708,298113708,male,14,2021,5,30,1
,,mwwdb,male,14,2021,6,3,1
2541,91791,254191791,female,14,2021,6,3,1
2541,91791,254191791,female,14,2021,7,11,1
,,mdby,male,14,2021,7,11,1
,,mwwdb,male,14,2021,7,11,0
2981,13708,298113708,male,15,2021,4,21,1
2981,13708,298113708,male,15,2021,4,29,1
2981,13708,298113708,male,15,2021,5,6,1
2981,13708,298113708,male,15,2021,5,14,1
2981,13708,298113708,male,15,2021,5,23,1
2981,13708,298113708,male,15,2021,7,3,1
2981,13721,298113721,male,16,2021,4,29,1
,,oocy,female,16,2021,4,29,0
2981,13721,298113721,male,16,2021,5,4,1
,,oocy,female,16,2021,5,4,1
2981,13721,298113721,male,16,2021,5,6,NA
,,oocy,female,16,2021,5,6,1
2981,13721,298113721,male,16,2021,5,12,NA
,,oocy,female,16,2021,5,12,1
2981,13721,298113721,male,16,2021,5,15,NA
,,oocy,female,16,2021,5,15,1
2981,13721,298113721,male,16,2021,5,20,NA
,,oocy,female,16,2021,5,20,1
2981,13721,298113721,male,16,2021,5,28,NA
,,oocy,female,16,2021,5,28,NA
2981,13721,298113721,male,16,2021,5,29,NA
,,oocy,female,16,2021,5,29,1
2981,13721,298113721,male,16,2021,6,7,1
,,oocy,female,16,2021,6,7,1
2981,13721,298113721,male,16,2021,7,3,1
,,oocy,female,16,2021,7,3,1
2981,13721,298113721,male,16,2021,7,6,1
,,oocy,female,16,2021,7,6,1
2981,13721,298113721,male,16,2021,7,11,NA
,,oocy,female,16,2021,7,11,NA
2661,76950,266176950,male,17,2021,4,28,NA
2661,76960,266176960,female,17,2021,4,28,NA
2661,76950,266176950,male,17,2021,5,4,NA
2661,76960,266176960,female,17,2021,5,4,NA
2661,76950,266176950,male,17,2021,5,13,NA
2661,76960,266176960,female,17,2021,5,13,NA
2661,76950,266176950,male,17,2021,5,21,NA
2661,76960,266176960,female,17,2021,5,21,1
2661,76950,266176950,male,17,2021,5,26,NA
2661,76960,266176960,female,17,2021,5,26,1
2661,76950,266176950,male,17,2021,5,27,NA
2661,76960,266176960,female,17,2021,5,27,1
2661,76950,266176950,male,17,2021,6,2,1
2661,76960,266176960,female,17,2021,6,2,1
2661,76950,266176950,male,17,2021,7,2,1
2661,76960,266176960,female,17,2021,7,2,1
2661,76950,266176950,male,17,2021,7,6,NA
2661,76960,266176960,female,17,2021,7,6,NA
2661,76950,266176950,male,17,2021,7,13,NA
2661,76960,266176960,female,17,2021,7,13,NA
2661,76950,266176950,male,17,2021,7,19,NA
2661,76960,266176960,female,17,2021,7,19,NA
2661,76885,266176885,male,18,2021,4,28,NA
,,cprr,female,18,2021,4,28,1
2661,76885,266176885,male,18,2021,5,4,NA
,,cprr,female,18,2021,5,4,1
2661,76885,266176885,male,18,2021,5,13,NA
,,cprr,female,18,2021,5,13,1
,,cprr,female,18,2021,5,14,NA
2661,76885,266176885,male,18,2021,5,14,1
,,bbmp,female,18,2021,5,14,1
2661,76885,266176885,male,18,2021,5,21,1
,,cprr,female,18,2021,5,21,1
2661,76885,266176885,male,18,2021,5,29,1
,,cprr,female,18,2021,5,29,1
2661,76885,266176885,male,18,2021,6,2,1
,,cprr,female,18,2021,6,2,1
2661,76885,266176885,male,18,2021,6,3,1
,,cprr,female,18,2021,6,3,1
2661,76885,266176885,male,18,2021,7,3,1
,,cprr,female,18,2021,7,3,1
2661,76885,266176885,male,18,2021,7,4,1
,,cprr,female,18,2021,7,4,1
2661,76885,266176885,male,18,2021,7,5,1
,,cprr,female,18,2021,7,5,1
2661,76885,266176885,male,18,2021,7,6,1
,,cprr,female,18,2021,7,6,1
2661,76885,266176885,male,18,2021,7,19,NA
,,cprr,female,18,2021,7,19,NA
2981,13766,298113766,male,20,2021,4,24,1
2661,76886,266176886,female,20,2021,4,24,1
2981,13766,298113766,male,20,2021,5,2,NA
2661,76886,266176886,female,20,2021,5,2,1
2981,13766,298113766,male,20,2021,5,13,1
2661,76886,266176886,female,20,2021,5,13,1
2981,13766,298113766,male,20,2021,5,14,1
2661,76886,266176886,female,20,2021,5,14,0
2981,13766,298113766,male,20,2021,5,21,1
2661,76886,266176886,female,20,2021,5,21,1
2981,13766,298113766,male,20,2021,6,2,1
2661,76886,266176886,female,20,2021,6,2,1
2981,13766,298113766,male,20,2021,6,3,1
2661,76886,266176886,female,20,2021,6,3,1
2981,13766,298113766,male,20,2021,6,28,1
2661,76886,266176886,female,20,2021,6,28,1
2661,76886,266176886,female,20,2021,7,6,NA
2981,13766,298113766,male,20,2021,7,6,1
